"","Study_Number","group","grp1_base_n","grp1_base_mean","grp1_base_sd","grp1_base_se","n","weighted.mean","overall_mean","q","qc","overall_sd"
"79",234,"Healthy_Total Mg",34,0.84,0.02,0,1411,0.0202553191489362,0.854234042553191,24.0036,926.5355,30.4270482740539
"80",235,"Renal disease_iMg",26,0.55,0.02,0,781,0.0183333333333333,0.577282051282051,7.875,257.2032,16.0271494091689
"81",235,"Renal disease_Total Mg",26,0.99,0.04,0.01,628,0.0410526315789474,0.947448165869219,25.5226,557.2699,23.5875138643626
"82",235,"Renal disease_iMg",10,0.5,0.04,0.01,781,0.00641025641025641,0.577282051282051,2.5144,257.2032,16.0271494091689
"83",235,"Renal disease_Total Mg",10,0.85,0.05,0.02,628,0.0135566188197767,0.947448165869219,7.2475,557.2699,23.5875138643626
"84",235,"Healthy_iMg",66,0.6,0,0,5522,0.00717261365694621,0.53871037855461,23.76,1431.9292,37.8370048836254
"85",235,"Healthy_Total Mg",66,0.84,0.01,0,1411,0.0393191489361702,0.854234042553191,46.5761,926.5355,30.4270482740539
"86",241,"Healthy_iMg",32,0.57,0.04,0.01,5522,0.00330374932077522,0.53871037855461,10.4464,1431.9292,37.8370048836254
"87",241,"Healthy_iMg",32,0.55,0.04,0.01,5522,0.00318782829197609,0.53871037855461,9.7296,1431.9292,37.8370048836254
"88",257,"Healthy_iMg",15,0.54,0.04,0.01,5522,0.001467125520739,0.53871037855461,4.3964,1431.9292,37.8370048836254
"89",257,"Healthy_Total Mg",15,0.87,0.06,0.02,1411,0.00925531914893617,0.854234042553191,11.4039,926.5355,30.4270482740539
"90",260,"Diabetes_iMg",57,0.73,0.13,0.02,892,0.0467003367003367,0.498451178451178,31.3217,238.321,15.4295906483189
"91",260,"Diabetes_iMg",47,0.74,0.12,0.02,892,0.0390347923681257,0.498451178451178,26.3996,238.321,15.4295906483189
"92",260,"Healthy_iMg",25,0.81,0.14,0.03,5522,0.00366781380184749,0.53871037855461,16.8729,1431.9292,37.8370048836254
"93",261,"Diabetes_iMg",15,0.55,0.06,0.02,892,0.00925925925925926,0.498451178451178,4.5879,238.321,15.4295906483189
"94",261,"Diabetes_iMg",15,0.51,0.01,0,892,0.00858585858585859,0.498451178451178,3.9029,238.321,15.4295906483189
"95",261,"Diabetes_iMg",23,0.54,0.05,0.01,892,0.0139393939393939,0.498451178451178,6.7618,238.321,15.4295906483189
"96",261,"Diabetes_Total Mg",17,0.86,0.07,0.02,337,0.0435119047619048,0.84625,12.6516,245.6027,15.648783645103
"97",261,"Diabetes_Total Mg",17,0.82,0.08,0.02,337,0.0414880952380952,0.84625,11.5332,245.6027,15.648783645103
"98",261,"Diabetes_Total Mg",20,0.84,0.08,0.02,337,0.05,0.84625,14.2336,245.6027,15.648783645103
"99",261,"Healthy_iMg",13,0.51,0.05,0.02,5522,0.00120086940771599,0.53871037855461,3.4113,1431.9292,37.8370048836254
"100",261,"Healthy_iMg",12,0.43,0.08,0.02,5522,0.00093461329469299,0.53871037855461,2.2892,1431.9292,37.8370048836254
"101",261,"Healthy_iMg",23,0.48,0.08,0.02,5522,0.001999637746785,0.53871037855461,5.44,1431.9292,37.8370048836254
"102",261,"Healthy_Total Mg",9,0.88,0.05,0.02,1411,0.00561702127659574,0.854234042553191,6.9896,926.5355,30.4270482740539
"103",261,"Healthy_Total Mg",11,0.85,0.21,0.07,1411,0.00663120567375886,0.854234042553191,8.3885,926.5355,30.4270482740539
"104",261,"Healthy_Total Mg",20,0.86,0.08,0.02,1411,0.0121985815602837,0.854234042553191,14.9136,926.5355,30.4270482740539
"105",268,"Healthy_iMg",20,0.59,0.01,0,5522,0.00213729396848397,0.53871037855461,6.9639,1431.9292,37.8370048836254
"106",268,"Healthy_Total Mg",20,0.94,0.01,0,1411,0.0133333333333333,0.854234042553191,17.6739,926.5355,30.4270482740539
"107",271,"Healthy_iMg",10,0.49,0.0316227766016838,0.01,5522,0.000887520376743344,0.53871037855461,2.41,1431.9292,37.8370048836254
"108",271,"Healthy_iMg",12,0.53,0.0346410161513775,0.01,5522,0.00115196522369136,0.53871037855461,3.384,1431.9292,37.8370048836254
"109",273,"Diabetes_iMg",60,0.56,0.25,0.03,892,0.0377104377104377,0.498451178451178,22.5035,238.321,15.4295906483189
"110",273,"Diabetes_Total Mg",60,0.79,0.23,0.03,337,0.141071428571429,0.84625,40.5671,245.6027,15.648783645103
"111",273,"Healthy_iMg",30,0.62,0.11,0.02,5522,0.00336895489947473,0.53871037855461,11.8829,1431.9292,37.8370048836254
"112",273,"Healthy_Total Mg",30,0.89,0.17,0.03,1411,0.018936170212766,0.854234042553191,24.6011,926.5355,30.4270482740539
"113",275,"Healthy_Total Mg",25,0.8,0.08,0.02,1411,0.0141843971631206,0.854234042553191,16.1536,926.5355,30.4270482740539
"114",275,"Healthy_iMg",25,0.53,0.04,0.01,5522,0.002399927549357,0.53871037855461,7.0609,1431.9292,37.8370048836254
